Order_ID,Customer_ID,Order_Date,Product_ID,Product_Category,Product_Name,Unit_Price,Quantity,Discount,Payment_Method,Shipping_Method,Shipping_Cost,Order_Status,Customer_Age,Customer_Gender,Region,Customer_Rating,Ship_Date,City,Total_Amount
ORD0001,CUST1933,2023-01-07,PROD027,家居,產品7,377.67,19.0,0.27,信用卡,快遞,16.84,處理中,31.0,男,中部,2.0,2023-01-14,,5238.28
ORD0002,CUST7298,2024-12-19,PROD027,美妝,產品5,950.96,,0.03,行動支付,標準,5.2,已完成,,男,北部,2.0,2024-12-20,新竹,7379.45
ORD0003,CUST2546,2024-11-04,PROD075,服飾,產品21,733.33,7.0,0.23,PayPal,標準,28.69,已完成,19.0,男,東部,5.0,,,3952.65
ORD0004,CUST5702,2024-07-05,PROD086,美妝,,600.67,16.0,0.19,信用卡,快遞,28.81,已完成,63.0,女,中部,4.0,2024-07-10,彰化,7784.68
ORD0005,CUST5359,2024-04-28,,電子產品,產品47,160.24,19.0,0.18,貨到付款,,47.61,,41.0,未指定,南部,4.0,2024-05-07,台南,
ORD0006,CUST1811,2023-07-08,PROD001,電子產品,產品29,,,0.09,行動支付,次日達,22.13,處理中,35.0,女,中部,5.0,2023-07-09,台中,874.75
ORD0007,CUST4425,,PROD014,家居,產品7,62.79,20.0,0.21,貨到付款,次日達,34.54,已取消,44.0,未指定,中部,5.0,2025-03-19,台中,992.08
ORD0008,CUST4102,2024-09-10,PROD046,,產品5,866.85,,0.24,信用卡,快遞,28.75,已退貨,41.0,未指定,東部,3.0,2024-09-14,,7246.87
ORD0009,CUST7007,2024-06-25,PROD015,,產品50,603.11,5.0,0.03,信用卡,快遞,8.84,,46.0,男,北部,,2024-07-02,新竹,
ORD0010,CUST7816,2024-10-21,,家居,產品13,709.53,,0.16,信用卡,標準,,已退貨,28.0,未指定,北部,1.0,2024-10-24,台北,9536.08
